type,seed,year,month,yday,hour,par,wspeed,temp,do_eq,sch_conv,do,T_S,D_M
fixed_all,3,2012,7,192,6,33.37915269014453,3.9,14.125,9405.391104306684,0.38173807230268375,10351.341668288807,2,27
fixed_all,3,2012,7,192,7,78.87045105722336,4.3,14.08,9416.179851778448,0.3821525395844477,10431.805659630556,2,27
fixed_all,3,2012,7,192,8,126.47611962680608,4.5,14.024999999999999,9429.392799648102,0.38266049387871504,10416.534953125982,2,27
fixed_all,3,2012,7,192,9,297.5780891987048,4.5,14.03,9428.19040681072,0.3826142532193912,10404.628133395798,2,27
fixed_all,3,2012,7,192,10,311.62241023758946,3.4,14.004999999999999,9434.204805802756,0.38284558270573044,10707.533935539148,2,27
fixed_all,3,2012,7,192,11,326.12143383923046,3.7,13.98,9440.225296746587,0.38307722796273663,10673.408497432058,2,27
fixed_all,3,2012,7,192,12,298.19518150374535,3.1,13.985,9439.020710806113,0.38303087362595956,10755.946408603038,2,27
fixed_all,3,2012,7,192,13,425.5818423282633,4.2,14.02,9430.595435900248,0.3827067471530615,10813.570052419274,2,27
fixed_all,3,2012,7,192,14,400.9443622856726,4.7,14.06,9420.981157810515,0.3823370739579291,10899.44956730526,2,27
fixed_all,3,2012,7,192,15,638.7477175742397,4.7,14.11,9408.985172182976,0.38187611509533104,11215.757453109161,2,27
fixed_all,3,2012,7,192,16,547.9350335880441,5.9,14.175,9393.426604827273,0.38127874392358696,11261.926082584152,2,27
fixed_all,3,2012,7,192,17,575.515283433366,6.1,14.254999999999999,9374.333600218,0.3805464162829165,11288.381232209284,2,27
fixed_all,3,2012,7,192,18,630.6312473069192,6,14.32,9358.865863520481,0.37995374472996835,11321.005994429866,2,27
fixed_all,3,2012,7,192,19,385.3362977499835,6.1,14.34,9354.114711847624,0.37977180570458774,11392.187705884857,2,27
fixed_all,3,2012,7,192,20,281.81385811520926,5.6,14.335,9355.302140638702,0.3798172718985191,11307.801679312977,2,27
fixed_all,3,2012,7,192,21,263.70374543263256,4.9,14.3,9363.620848291095,0.38013588189936004,11382.158958974851,2,27
fixed_all,3,2012,7,192,22,212.4926802182148,3,14.25,9375.525107172938,0.3805920933353472,11387.936920734866,2,27
fixed_all,3,2012,7,192,23,121.36574331788994,3.2,14.175,9393.426604827273,0.38127874392358696,11472.314966422928,2,27
fixed_all,3,2012,7,192,24,54.499011530256695,2.6,14.120000000000001,9406.588884741963,0.38178407402538556,11489.471456557829,2,27
fixed_all,3,2012,7,193,1,14.696784138984174,2.4,14.04,9425.786351116554,0.3825218097300217,11562.242935551043,2,28
fixed_all,3,2012,7,193,2,2.598220500053574,0.5,13.920000000000002,9454.699379523692,0.3836344678839536,11492.547530922555,2,28
fixed_all,3,2012,7,193,3,0.4387357198476644,1.3,13.79,9486.180977108756,0.38484810312471357,11470.250948499031,2,28
fixed_all,3,2012,7,193,4,1.7437102155136937,3.9,13.690000000000001,9510.510933703554,0.3857875538667438,11162.005698987043,2,28
fixed_all,3,2012,7,193,5,27.94616847393174,1.9,13.57,9539.837805155426,0.38692169931424814,11520.883286593335,2,28
fixed_all,3,2012,7,193,6,96.02801868420477,0.8,13.465,9565.616670250858,0.3879202071898581,11529.508004014582,2,28
fixed_all,3,2012,7,193,7,183.65455056619217,0.5,13.415,9577.931173854093,0.38839770975191684,11473.533210324691,2,28
fixed_all,3,2012,7,193,8,291.4139163937795,1,13.425,9575.466262516058,0.38830210453149266,11405.272806045052,2,28
fixed_all,3,2012,7,193,9,405.20808227143124,1.8,13.52,9552.099694664039,0.38739646311523335,11174.88393785852,2,28
fixed_all,3,2012,7,193,10,528.9021706483657,1.5,13.594999999999999,9533.716220524562,0.38668480437328,11233.761591460767,2,28
fixed_all,3,2012,7,193,11,626.4151627135608,1.7,13.54,9547.191940638042,0.3872064015895852,11286.169817288737,2,28
fixed_all,3,2012,7,193,12,568.8689941911415,2.5,13.56,9542.288184965893,0.38701654811416397,11300.810255511058,2,28
fixed_all,3,2012,7,193,13,685.3923439859417,2.7,13.625,9526.378540235937,0.38640095803397007,11434.004353312712,2,28
fixed_all,3,2012,7,193,14,780.5625572043394,2.4,13.774999999999999,9489.824170988797,0.38498869350705733,11504.850343063077,2,28
fixed_all,3,2012,7,193,15,858.5528723705966,2.7,13.875,9465.578069070887,0.3840535974284309,11615.171883010802,2,28
fixed_all,3,2012,7,193,16,849.7569230650917,2.5,13.82,9478.901243872127,0.3845672679007437,11689.294253776674,2,28
fixed_all,3,2012,7,193,17,713.4083225082582,2.2,13.57,9539.837805155426,0.38692169931424814,11916.913568592323,2,28
fixed_all,3,2012,7,193,18,673.8239305358395,3.2,13.76,9493.469585448414,0.38512939921365835,11964.31928477569,2,28
fixed_all,3,2012,7,193,19,579.6885916231827,2.5,14.469999999999999,9323.325372967136,0.3785940146743779,11962.595392029121,2,28
fixed_all,3,2012,7,193,20,469.2348921018462,3.7,14.405,9338.699891356277,0.3791818693044092,11783.43582401211,2,28
fixed_all,3,2012,7,193,21,341.8406158319912,4.4,14.39,9342.253575373943,0.3793178233920001,11822.601427297242,2,28
fixed_all,3,2012,7,193,22,252.2375151110998,2.9,14.285,9367.18960482711,0.3802726149579782,11886.124192514711,2,28
fixed_all,3,2012,7,193,23,130.62583486665633,1,14.205,9386.259498917185,0.3810037470064521,11703.342001909197,2,28
fixed_all,3,2012,7,193,24,50.792771327400565,0.8,14.16,9397.013416477828,0.3814164110397953,11648.831776586623,2,28
fixed_all,3,2012,7,194,1,6.943412109681713,2,14.094999999999999,9412.581420750997,0.38201427082053857,11667.548602680232,2,29
fixed_all,3,2012,7,194,2,0.4701001838990904,2.2,14.05,9423.38326829191,0.3824294166533846,11597.523840998527,2,29
fixed_all,3,2012,7,194,3,0.4706101266771411,0.4,13.99,9437.816368807606,0.38298453193582627,11651.240505610564,2,29
fixed_all,3,2012,7,194,4,3.2226616750701953,1.7,13.940000000000001,9449.87077409347,0.3834485184112775,11570.229815832987,2,29
fixed_all,3,2012,7,194,5,25.7672057867282,2.2,13.875,9465.578069070887,0.3840535974284309,11596.323029067742,2,29
fixed_all,3,2012,7,194,6,86.53082311262557,1,13.83,9476.476635879424,0.38447375842461906,11519.168752433232,2,29
fixed_all,3,2012,7,194,7,186.41252910131897,0.9,13.8,9483.753413952867,0.38475444021882826,11462.005289176252,2,29
fixed_all,3,2012,7,194,8,294.2639821156926,0.4,13.805,9482.540002003745,0.3847076279585914,11409.58543481406,2,29
fixed_all,3,2012,7,194,9,407.1469965135286,0.9,13.86,9469.208713696771,0.3841935363447303,11449.888706787477,2,29
fixed_all,3,2012,7,194,10,519.8563737755591,1.2,13.93,9452.28458747168,0.38354146776713915,11460.357174399573,2,29
fixed_all,3,2012,7,194,11,628.9609849188356,1.8,14.025,9429.392799648102,0.38266049387871504,11510.185274880801,2,29
fixed_all,3,2012,7,194,12,695.6623814296273,2.4,14.105,9410.183679319009,0.38192215445043154,11719.073318427136,2,29
fixed_all,3,2012,7,194,13,774.0869499039474,2.9,14.18,9392.231483930233,0.3812328798842148,11817.294579424924,2,29
fixed_all,3,2012,7,194,14,814.1730493854643,2.2,14.26,9373.142333673171,0.38050075166505715,11888.790070413186,2,29
fixed_all,3,2012,7,194,15,827.0878256584497,3.9,14.295,9364.810193889854,0.380181447180842,11900.299459433154,2,29
fixed_all,3,2012,7,194,16,779.7983720004086,4.2,14.525,9310.347539294671,0.3780982189365954,12108.052966674933,2,29
fixed_all,3,2012,7,194,17,739.5344342565684,5,14.855,9233.079643105782,0.375154332251383,12228.010805520305,2,29
fixed_all,3,2012,7,194,18,637.4845739401427,5,14.934999999999999,9214.501418357238,0.37444855967066787,12308.571790626389,2,29
fixed_all,3,2012,7,194,19,535.2514626983657,5.3,14.955,9209.866143247928,0.37427259372052535,12341.682371382292,2,29
fixed_all,3,2012,7,194,20,437.88553777246244,4.1,14.99,9201.76332331947,0.373965111310344,12369.035806883685,2,29
fixed_all,3,2012,7,194,21,342.1592484349754,3.2,14.99,9201.76332331947,0.373965111310344,12543.22699187248,2,29
