year,yday,hour,unique_series,day,do,temp,turb,pcyv,o2_sat,par,wspeed,ext,par0,par_int,sch_o2,sch_conv,do_sol,do_eq,series,series_length,index,unique_day
2016,194,2,50,185,12.03581989732337,11.7,0.7,0.0175,94.3,4.78425925925926,3.3,0.47222200830167604,2.105311172162486,1.0666343376160634,3647.211010295999,0.4055974165180437,7.585599729331681,10.044208396331443,13,46,4223,185
2016,194,3,50,185,11.983004663013952,11.66,0.45,0.019,93.75,1.9925925925925925,3.7,0.457477858786705,0.8768394895478361,0.4524638967608475,3639.652672852032,0.40601834297569783,7.592556962545344,10.054832522727276,13,46,4224,185
2016,194,4,50,185,11.92569051123061,11.61,0.4,0.016599999999999997,93.44999999999999,15.449074074074074,2.9,0.45452902888371083,6.798358217056527,3.5210320596250284,3630.214277314152,0.4065458151570112,7.601269214973168,10.068137687622384,13,46,4225,185
2016,194,5,50,185,11.899581409323714,11.56,0.55,0.0163,92.95,39.06944444444444,2.3,0.46337551859269344,17.1924917571891,8.80658743739636,3620.786499843072,0.4070747515843218,7.609998967888079,10.081470709808377,13,46,4226,185
2016,194,6,50,185,11.86250512101869,11.515,0.5,0.0162,92.4,60.596296296296295,3.4,0.4604266886896992,26.665373398684288,13.709211158408293,3612.3106080772227,0.4075520499578076,7.617870747432496,10.093494311571728,13,46,4227,185
2016,194,7,50,185,11.818458501209026,11.465,0.45,0.016,91.85,125.97777777777777,1.4,0.457477858786705,55.436465422825464,28.606146811196034,3602.903103303093,0.40808378065480816,7.626633881423745,10.106880475546378,13,46,4228,185
2016,194,8,50,185,11.789699447306063,11.46,0.25,0.016050000000000002,91.69999999999999,350.8259259259259,2.4,0.44568253917472817,154.3807936216351,80.85073523600846,3601.9629419253115,0.4081370348919423,7.6275111641148445,10.108220635163894,13,46,4229,185
2016,194,9,50,185,11.817321851506243,11.46,0.15000000000000002,0.0175,91.94999999999999,548.5638888888889,2.3,0.4397848793687398,241.39529681372025,127.36539448115973,3601.9629419253115,0.4081370348919423,7.6275111641148445,10.108220635163894,13,46,4230,185
2016,194,10,50,185,11.853919824079728,11.445,0.2,0.01625,92.15,465.64074074074074,2,0.442733709271734,204.90500212717956,107.71041222269439,3599.143101445881,0.4082968862740823,7.630144070931476,10.112242799711144,13,46,4231,185
2016,194,11,50,185,11.861319274449267,11.455,0.15000000000000002,0.0144,92.45,688.8935185185185,2.5,0.4397848793687398,303.14728829973876,159.9470845945478,3601.022887799379,0.4081903039045681,7.628388623232025,10.109561075679387,13,46,4232,185
2016,194,12,50,185,11.899160299979407,11.475000000000001,0.2,0.0154,93.44999999999999,880.2518518518518,2.3,0.442733709271734,387.354438293411,203.61682629386297,3604.7837476713753,0.40797731648923247,7.624879845125384,10.10420099868843,13,46,4233,185
2016,194,13,50,185,11.985985056204424,11.524999999999999,0.2,0.01625,94.19999999999999,944.038888888889,4.1,0.442733709271734,415.4238957445962,218.3718239832703,3614.193392483625,0.40744588068003673,7.616120232985965,10.090820441764796,13,46,4234,185
2016,194,14,50,185,12.042128808112862,11.545,0.25,0.0172,95.65,1071.612037037037,4.3,0.44568253917472817,471.562403193672,246.9618539551568,3617.9602424628206,0.4072337187020831,7.612621313409309,10.08547606017262,13,46,4235,185
2016,194,15,50,185,12.174256369418893,11.53,0.1,0.015050000000000001,96.7,574.0777777777778,3.1,0.43683604946574556,252.62267234089992,133.78751070568123,3615.1349448861843,0.4073928181200032,7.615245239498225,10.08948392673019,13,46,4236,185
2016,194,16,50,185,12.263712449946413,11.524999999999999,0.2,0.01565,97.5,574.0777777777777,4.5,0.442733709271734,252.62267234089987,132.79369411269099,3614.193392483625,0.40744588068003673,7.616120232985965,10.090820441764796,13,46,4237,185
2016,194,17,50,185,12.34570397259303,11.565000000000001,0.35,0.01435,98.5,1454.3305555555557,4.1,0.4515801989807166,639.9775180876054,332.68699947597133,3621.728798759553,0.40702179192441934,7.6091252037305965,10.080136151812859,13,46,4238,185
2016,194,18,50,185,12.431479171452802,11.59,0.55,0.017099999999999997,99.7,1007.8249999999999,4,0.46337551859269344,443.4929457424869,227.17238779053218,3626.441890158168,0.4067572137706928,7.604759013440974,10.073467549303443,13,46,4239,185
2016,194,19,50,185,12.542715049738186,11.585,0.35,0.0172,100.4,472.01944444444445,4.9,0.4515801989807166,207.71194787229808,107.97733160914694,3625.499059088637,0.4068101000634279,7.6056319009235676,10.074800711734163,13,46,4240,185
2016,194,20,50,185,12.581842290139024,11.555,0.44999999999999996,0.018349999999999998,100.7,363.5824074074074,4.5,0.457477858786705,159.99427765857772,82.5597332143054,3619.8443074643187,0.40712772593094576,7.610872907522016,10.0828055471484,13,46,4241,185
2016,194,21,50,185,12.590475939711036,11.53,0.35,0.016,100.5,239.19907407407408,3,0.4515801989807166,105.2594468087083,54.71824952528435,3615.1349448861843,0.4073928181200032,7.615245239498225,10.08948392673019,13,46,4242,185
2016,194,22,50,185,12.556653826910175,11.5,0.35,0.01705,100.5,92.49074074074075,2.2,0.4515801989807166,40.70050957757127,21.157821995009016,3609.4872330000003,0.407711414335284,7.620497838492071,10.097507216791335,13,46,4243,185
2016,194,23,50,185,12.526611182635161,11.455,0.4,0.015300000000000001,99.8,37.474999999999994,1.7,0.45452902888371083,16.49085718423307,8.541008723356533,3601.022887799379,0.4081903039045681,7.628388623232025,10.109561075679387,13,46,4244,185
2016,194,24,50,185,12.447994253790492,11.41,4.3,0.01525,99.35,9.369444444444445,1,0.6845377613172587,4.123019886029068,1.6345200844415828,3592.5672328906317,0.40867039064926786,7.636293702270216,10.121637693522585,13,46,4245,185
2016,195,1,50,186,12.391916021093063,11.39,0.15000000000000002,0.014700000000000001,98.7,2.391666666666666,1.8,0.4397848793687398,1.0524518594340428,0.555296428797813,3588.8119603266477,0.4088841476626881,7.639811668107743,10.127012399438307,13,46,4246,186
2016,195,2,50,186,12.331716184858568,11.355,0.15000000000000002,0.015449999999999998,97.35,1.3953703703703704,1.9,0.4397848793687398,0.6140321146601251,0.32397666209767884,3582.244383156039,0.4092587938636396,7.645974928230099,10.13642899438386,13,46,4247,186
2016,195,3,50,186,12.194385643572675,11.31,0.2,0.014599999999999998,97.05,1.9935185185185185,1.5,0.442733709271734,0.8772469428422357,0.4611338369181872,3573.808133199672,0.40974155262079903,7.653911896897841,10.148556391474408,13,46,4248,186
2016,195,4,50,186,12.164984428074034,11.225,0.15000000000000002,0.013600000000000001,96.05000000000001,12.15925925925926,1.4,0.4397848793687398,5.350676662054918,2.823133063481565,3557.896954825125,0.41065672784616997,7.668943284043945,10.171526340361883,13,46,4249,186
2016,195,5,50,186,12.077081309164367,11.15,0.05,0.01345,96.05000000000001,47.0425925925926,1.8,0.4338872195627514,20.701072075263646,11.004233358761063,3543.883817283,0.4114678311528919,7.682249147702257,10.191862229910445,13,46,4250,186
2016,195,6,50,186,12.108146243450152,11.14,0.25,0.0137,95.94999999999999,73.35462962962963,1.9,0.44568253917472817,32.27967234221572,16.905180889547154,3542.017257229248,0.41157623382353736,7.684026309149762,10.194578534137232,13,46,4251,186
2016,195,7,50,186,12.102206381983654,11.14,0.05,0.013000000000000001,95.75,274.2814814814815,1.3,0.4338872195627514,120.69744468021293,64.16009964306652,3542.017257229248,0.41157623382353736,7.684026309149762,10.194578534137232,13,46,4252,186
2016,195,8,50,186,12.128728145310241,11.105,0,0.013850000000000001,96.4,484.77685185185186,0.5,0.43093838965975717,213.3258393625351,113.82488642017422,3535.4877493321887,0.41195611784572617,7.690252031039354,10.204094609945447,13,46,4253,186
2016,195,9,50,186,12.223542907812242,11.065000000000001,0,0.013850000000000001,97.25,599.5925925925926,1,0.43093838965975717,263.850455321374,140.78345219974833,3528.0320425252535,0.41239117668523584,7.697377933203156,10.214987316063295,13,46,4254,186
2016,195,10,50,186,12.324961182556088,11.11,0,0.012199999999999999,99.4,969.5537037037036,1,0.43093838965975717,426.65167872507016,227.64977284034842,3536.420207099352,0.41190180345660876,7.689362103063993,10.202734311715624,13,46,4255,186
2016,195,11,50,186,12.541212997812984,11.105,0,0.0124,100.6,1199.1851851851852,1.1,0.43093838965975717,527.700910642748,281.56690439949665,3535.4877493321887,0.41195611784572617,7.690252031039354,10.204094609945447,13,46,4256,186
2016,195,12,50,186,12.662460857750084,11.16,0.05,0.01235,101.2,1632.9333333333332,1.3,0.4338872195627514,718.5715914976292,381.97681014139135,3545.7508151992324,0.4113594886925368,7.680472703869591,10.18914706877363,13,46,4257,186
