datetime,site,year,temp.ben,do.ben,dosat.ben,par.ben,temp.pel,do.pel,dosat.pel,par.pel,k,wdir,wspeed,wspeedbw,gust
2018-06-16T23:00:00Z,st33,2018,10.3309166666666,11.6678333333333,107.772249166666,1.791725,10.305,11.835,109.1,5.774775,0.508613393417318,102,3.6,3.7,5.3
2018-06-17T00:00:00Z,st33,2018,10.2816666666667,11.625,107.25259525,0.49765,10.245,11.765,108.3,2.489175,0.698466958327008,79,4.6,4.6,5.9
2018-06-17T01:00:00Z,st33,2018,10.2063333333334,11.59025,106.742883333334,0.39775,10.18,11.78,108.35,1.59285,0.595167100948842,91,2.1,4.7,5.9
2018-06-17T02:00:00Z,st33,2018,10.13175,11.56825,106.353470083333,0.59755,10.11,11.75,107.85,2.3902,0.608308445408828,118,2.2,2.2,2.8
2018-06-17T03:00:00Z,st33,2018,10.0998333333334,11.5121666666666,105.758303666667,1.9906,10.07,11.755,107.8,6.869975,0.540255724333631,171,1.8,2.4,3.1
2018-06-17T04:00:00Z,st33,2018,10.0511666666666,11.52525,105.7570745,6.5712,10.065,11.71,107.4,20.212175,0.480028029262142,143,2,2.5,3.4
2018-06-17T05:00:00Z,st33,2018,10.023,11.5343333333333,105.770084833333,14.238525,10.06,11.7,107.25,28.675,0.322843827800525,134,0.7,1.9,2.5
2018-06-17T06:00:00Z,st33,2018,10.093,11.5275833333333,105.882868416667,29.471425,10.085,11.72,107.5,50.18125,0.225887341831117,148,0.5,0.9,1.7
2018-06-17T07:00:00Z,st33,2018,10.16,11.5346666666667,106.11514675,44.606275,10.125,11.775,108.15,124.25895,0.435983815571901,49,0.3,0.9,1.6
2018-06-17T08:00:00Z,st33,2018,10.2399166666666,11.62575,107.154403583334,66.90895,10.23,11.79,108.55,280.379525,0.616097925181454,24,1.3,1.3,2.6
2018-06-17T09:00:00Z,st33,2018,10.28075,11.7198333333333,108.12535725,78.059825,10.34,11.815,109,293.124175,0.575634098804215,139,2.8,2.8,5.9
2018-06-17T10:00:00Z,st33,2018,10.38175,11.8093333333333,109.209512416666,82.8393,10.415,11.845,109.5,356.8465,0.630435291106491,135,2.9,3.8,6.9
2018-06-17T11:00:00Z,st33,2018,10.4690833333333,11.8876666666667,110.15894025,73.281275,10.475,12.03,111.4,223.029525,0.484106621686253,109,4.9,5,8
2018-06-17T12:00:00Z,st33,2018,10.5229166666667,11.9619166666666,110.986397083334,33.3555,10.49,11.94,110.6,97.1768,0.46250819792543,97,6.1,6.3,8.8
2018-06-17T13:00:00Z,st33,2018,10.6590833333333,11.8625833333333,110.415018166667,79.652675,10.595,11.9,110.5,270.8215,0.514550521231868,120,6.5,6.5,9.2
2018-06-17T14:00:00Z,st33,2018,10.6961666666666,11.8543333333334,110.434268333334,54.960725,10.64,11.92,110.8,181.609875,0.526833049583529,107,5.5,9.3,13.6
2018-06-17T15:00:00Z,st33,2018,10.81675,11.8375,110.587267,90.804475,10.725,11.915,111,331.358125,0.566488991102839,103,9,9,13.1
2018-06-17T16:00:00Z,st33,2018,10.91325,11.7974166666666,110.46031275,93.9911,10.845,11.87,110.85,261.26255,0.428283856585922,105,8.6,9.4,12.4
2018-06-17T17:00:00Z,st33,2018,10.98525,11.746,110.16286575,78.059825,10.94,11.865,111.05,299.4965,0.582921597025552,109,7.8,8.3,12.2
2018-06-17T18:00:00Z,st33,2018,11.04075,11.71825,110.043968333333,52.57145,11.015,11.805,110.65,140.190225,0.432320064463334,111,6.6,7.6,10.4
2018-06-17T19:00:00Z,st33,2018,11.0625833333334,11.68475,109.785011916667,30.9653,11.06,11.775,110.5,81.24645,0.424750161266748,79,7.5,7.5,10.6
2018-06-17T20:00:00Z,st33,2018,11.0745,11.6995833333333,109.954672416667,31.861625,11.065,11.79,110.65,76.466975,0.379315450859854,89,8.8,8.8,11.2
2018-06-17T21:00:00Z,st33,2018,11.055,11.63425,109.29128325,10.853025,11.065,11.725,110.05,29.27255,0.430727009458497,85,7.7,7.9,10.6
2018-06-17T22:00:00Z,st33,2018,11.03025,11.53875,108.332070416667,3.3855,11.11,11.615,109.15,9.8568,0.459918280218286,73,6.6,7.8,10.1
2018-06-17T23:00:00Z,st33,2018,11.0686666666667,11.41475,107.178492083333,0.796425,11.155,11.52,108.4,2.78795,0.544374996910685,67,6.2,6.6,8.9
2018-06-18T00:00:00Z,st33,2018,11.1140833333334,11.30875,106.379072666667,0.298775,11.175,11.435,107.65,1.393975,0.677619014402931,58,5.4,5.6,7.6
2018-06-18T01:00:00Z,st33,2018,11.07525,11.24375,105.672524,0.0999,11.185,11.4,107.3,0.896325,1.29523016821365,48,5.9,6,7.9
2018-06-18T02:00:00Z,st33,2018,11.1140833333333,11.1915,105.2760845,0.0999,11.245,11.305,106.55,0.696525,1.14672950781658,4,5.8,6.5,9.2
2018-06-18T03:00:00Z,st33,2018,11.1744166666667,11.1356666666666,104.896977166666,0.0999,11.195,11.27,106.15,0.896325,1.27282880813733,12,5.5,5.8,9
2018-06-18T04:00:00Z,st33,2018,11.18175,11.1218333333333,104.78413425,1.49295,11.19,11.295,106.35,4.97835,0.522560577046776,12,5.1,6,8.4
2018-06-18T05:00:00Z,st33,2018,11.0520833333333,11.1104166666666,104.363093916667,1.294075,11.12,11.19,105.1,3.784175,0.464993868997204,343,4.4,5.5,7.4
2018-06-18T06:00:00Z,st33,2018,11.0214166666666,11.0378333333333,103.607571333333,3.584375,10.99,11.2,104.9,10.853025,0.480451160163131,346,5.5,5.5,7.6
