year,month,yday,hour,par,wspeed,temp,do,do_eq,sch_conv,nhour
2017,8,219,1,0,2.9,13.15,12060,9643.61973457282,0.39095044980125765,24
2017,8,219,2,0,2.2,13.114999999999998,12020,9652.348963196833,0.3912903886093212,24
2017,8,219,3,0,1.9,13.07,11920,9663.590674153018,0.3917284142997167,24
2017,8,219,4,0.020700854558303537,1,13.03,11910,9673.600737955167,0.3921186808168879,24
2017,8,219,5,1.3131177783034567,1.5,13,11934.999999999998,9681.11907507798,0.3924119443166053,24
2017,8,219,6,11.044841285894659,1.1,12.985,11920,9684.881716987133,0.39255875754582853,24
2017,8,219,7,16.111677809421074,0.6,12.95,11920,9693.670232873606,0.39290179302751244,24
2017,8,219,8,32.60564081644709,1.4,12.934999999999999,11905.000000000002,9697.440609157335,0.3930490104824234,24
2017,8,219,9,60.5822421816929,3.2,12.91,11850,9703.72973598249,0.393294642989692,24
2017,8,219,10,69.16403754922888,3.7,12.905000000000001,11879.999999999998,9704.98833693559,0.39334381004114527,24
2017,8,219,11,133.1219440857071,3.3,12.905000000000001,11885,9704.98833693559,0.39334381004114527,24
2017,8,219,12,220.40150416042255,3.8,12.91,11920,9703.72973598249,0.393294642989692,24
2017,8,219,13,234.9963232120017,3.9,12.955,12045,9692.413956990642,0.39285274752570765,24
2017,8,219,14,134.41459232884193,3.9,12.97,12285,9688.64667699141,0.39270569191132154,24
2017,8,219,15,161.81796162068417,3.3,12.94,12375,9696.183558886542,0.39299992450169247,24
2017,8,219,16,144.14892227263724,3.5,12.905000000000001,12460,9704.98833693559,0.39334381004114527,24
2017,8,219,17,51.99038696673042,5,12.875,12430,9712.545377709657,0.39363909655145907,24
2017,8,219,18,60.57879856285976,4,12.865,12434.999999999998,9715.066463496085,0.3937376337560453,24
2017,8,219,19,28.117951343695964,3,12.795,12250,9732.743132968048,0.3944289147830486,24
2017,8,219,20,56.45456790650105,1.8,12.735,12274.999999999998,9747.935156366364,0.3950235654693975,24
2017,8,219,21,19.477986912164184,1.5,12.745000000000001,12165,9745.400544688911,0.39492432052514403,24
2017,8,219,22,9.03138108314951,3,12.77,12055,9739.068581187545,0.3946764471563649,24
2017,8,219,23,0.6175001928461108,2.4,12.74,11995.000000000002,9746.667720007916,0.3949739361647146,24
2017,8,219,24,0,2.7,12.71,12030.000000000002,9754.276256252817,0.39527191711721077,24
2017,8,220,1,0,3.2,12.695,11885,9758.084053234854,0.3954210923574419,24
2017,8,220,2,0,2.9,12.68,11745.000000000002,9761.894205368115,0.39557039092578333,24
2017,8,220,3,0,2.9,12.64,11680,9772.066139855251,0.3959691242474559,24
2017,8,220,4,0.10250886758748098,1.8,12.620000000000001,11625,9777.15840415239,0.39616882076526344,24
2017,8,220,5,4.657898796785036,1.3,12.6,11600,9782.254872623222,0.396368737549496,24
2017,8,220,6,33.92946037887583,0.4,12.594999999999999,11600.000000000002,9783.529647183692,0.3964187511940109,24
2017,8,220,7,51.68484798183426,1.7,12.565000000000001,11625,9791.183822613759,0.39671912275518545,24
2017,8,220,8,96.15699634099288,1.3,12.555,11690.000000000002,9793.737322087607,0.3968193570705742,24
2017,8,220,9,82.15001184878449,1.2,12.575,11809.999999999998,9788.631377357025,0.3966189436933046,24
2017,8,220,10,105.0582060148627,0.7,12.620000000000001,11990,9777.15840415239,0.39616882076526344,24
2017,8,220,11,226.5946503570078,0.9,12.675,11975,9763.164779780707,0.3956201845412117,24
2017,8,220,12,185.88809888768165,0.9,12.705,11970,9755.5452603492,0.39532162850120994,24
2017,8,220,13,205.86753734747506,0.9,12.71,12070,9754.276256252817,0.39527191711721077,24
2017,8,220,14,179.40341392981523,1.2,12.754999999999999,12115,9742.86697688431,0.3948251302244671,24
2017,8,220,15,359.1494708823741,6.8,12.754999999999999,12160,9742.86697688431,0.3948251302244671,24
2017,8,220,16,211.5683457133562,3.1,12.774999999999999,12190.000000000002,9737.802970606146,0.39462691341891554,24
2017,8,220,17,68.56775629891001,2.5,12.79,12240,9734.007701817052,0.3944783940033468,24
2017,8,220,18,68.67416124277194,5.6,12.76,12230,9741.600584255297,0.39477555555492666,24
2017,8,220,19,34.46039699013207,5.4,12.74,12195,9746.667720007916,0.3949739361647146,24
2017,8,220,20,21.605664349304043,6,12.68,12110,9761.894205368115,0.39557039092578333,24
2017,8,220,21,12.379426181929395,5.1,12.64,12059.999999999998,9772.066139855251,0.3959691242474559,24
2017,8,220,22,7.315713666130651,6.5,12.59,11930,9784.80468486477,0.3964687786264009,24
2017,8,220,23,0.4009398983300712,5.1,12.53,11820,9800.125686767666,0.3970701848165237,24
2017,8,220,24,0,5.2,12.49,11750,9810.360805178776,0.3974722292767371,24
2017,8,221,1,0,5.3,12.434999999999999,11675,9824.461755559594,0.39802649103235105,24
2017,8,221,2,0,4.8,12.4,11635.000000000002,9833.451804284045,0.3983800799296551,24
2017,8,221,3,0,4.7,12.355,11615,9845.029590380364,0.39883569913851175,24
2017,8,221,4,0,5,12.325,11524.999999999998,9852.760108592001,0.39914007476322017,24
2017,8,221,5,1.2710944607280295,3.5,12.27,11475.000000000002,9866.957705905974,0.39969940815430505,24
2017,8,221,6,11.511450140405655,3.7,12.155,11540,9896.748439291978,0.4008744299728994,24
2017,8,221,7,34.089685705981545,5.4,12.105,11500,9909.745356306492,0.4013876432114354,24
2017,8,221,8,69.75287861451234,4.3,12.094999999999999,11465,9912.347980950584,0.4014904562243543,24
2017,8,221,9,117.0570164857535,2.5,12.07,11570,9918.859276750452,0.4017477376361745,24
2017,8,221,10,138.49243389065543,4.9,12.02,11605,9931.90218944319,0.4022633689328532,24
2017,8,221,11,248.35241237730506,5.2,12.01,11680,9934.514028436586,0.4023666664436033,24
2017,8,221,12,308.4404044028061,5.4,12.02,11745.000000000002,9931.90218944319,0.4022633689328532,24
2017,8,221,13,311.4289851284036,5.4,12.065000000000001,11795,9920.162348082553,0.4017992366183415,24
2017,8,221,14,368.38709945537113,5.3,12.11,11900,9908.444449474686,0.40133625802014355,24
2017,8,221,15,455.1771888381963,5.1,12.14,12e3,9900.644680652558,0.40102824501147066,24
